Date,HolidayType,DaysAhead,DaysAfter,IsHolidayDay
20201004,7,3,4,0
20201005,7,4,3,0
20201006,7,5,2,0
20201007,7,6,1,0
20201008,7,7,0,0
20210101,1,0,2,1
20210102,1,1,1,0
20210103,1,2,0,0
20210211,2,0,6,0
20210212,2,1,5,1
20210213,2,2,4,0
20210214,2,3,3,0
20210215,2,4,2,0
20210216,2,5,1,0
20210217,2,6,0,0
20210403,3,0,2,0
20210404,3,1,1,1
20210405,3,2,0,0
20210501,4,0,4,1
20210502,4,1,3,0
20210503,4,2,2,0
20210504,4,3,1,0
20210505,4,4,0,0
20210612,5,0,2,0
20210613,5,1,1,0
20210614,5,2,0,1
20210919,6,0,2,0
20210920,6,1,1,0
20210921,6,2,0,1
20211001,7,0,6,1
20211002,7,1,5,0
20211003,7,2,4,0
20211004,7,3,3,0
20211005,7,4,2,0
20211006,7,5,1,0
20211007,7,6,0,0
20220101,1,0,2,1
20220102,1,1,1,0
20220103,1,2,0,0
20220131,2,0,6,0
20220201,2,1,5,1
20220202,2,2,4,0
20220203,2,3,3,0
20220204,2,4,2,0
20220205,2,5,1,0
20220206,2,6,0,0
20220403,3,0,2,0
20220404,3,1,1,0
20220405,3,2,0,1
20220430,4,0,4,0
20220501,4,1,3,1
20220502,4,2,2,0
20220503,4,3,1,0
20220504,4,4,0,0
20220603,5,0,2,1
20220604,5,1,1,0
20220605,5,2,0,0
20220910,6,0,2,1
20220911,6,1,1,0
20220912,6,2,0,0
20221001,7,0,6,1
20221002,7,1,5,0
20221003,7,2,4,0
20221004,7,3,3,0
20221005,7,4,2,0
20221006,7,5,1,0
20221007,7,6,0,0
20221231,1,0,2,0
20230101,1,1,1,1
20230102,1,2,0,0
20230121,2,0,6,0
20230122,2,1,5,1
20230123,2,2,4,0
20230124,2,3,3,0
20230125,2,4,2,0
20230126,2,5,1,0
20230127,2,6,0,0
20230405,3,0,0,1
20230429,4,0,4,0
20230430,4,1,3,0
20230501,4,2,2,1
20230502,4,3,1,0
20230503,4,4,0,0
20230622,5,0,2,1
20230623,5,1,1,0
20230624,5,2,0,0
20230929,6,0,7,1
20230930,6,1,6,0
20231001,6,2,5,0
20231002,6,3,4,0
20231003,6,4,3,0
20231004,6,5,2,0
20231005,6,6,1,0
20231006,6,7,0,0
20230929,7,0,7,0
20230930,7,1,6,0
20231001,7,2,5,1
20231002,7,3,4,0
20231003,7,4,3,0
20231004,7,5,2,0
20231005,7,6,1,0
20231006,7,7,0,0
